   0.60938,   0.87500,  -0.93750,  -0.96875,  -0.88281,   0.94531,  -0.78906,  -0.85156,  -0.83594,   0.88281
   0.11719,   0.05469,  -0.11719,  -0.10938,   0.13281,   0.00000,  -0.01562,  -0.05469,  -0.07031,  -0.04688
  -0.88281,   0.81250,   0.86719,  -0.93750,   0.89062,   0.87500,   0.82031,  -0.87500,  -0.83594,  -0.89062
  -0.92188,  -0.89062,   0.85156,   0.92969,   0.81250,   0.83594,  -0.90625,  -0.89844,  -0.88281,   0.82031
  -0.89844,   0.89062,   0.93750,  -0.85156,  -0.87500,  -0.92969,  -0.91406,   0.89062,  -0.89062,   0.79688
   0.91406,  -0.86719,  -0.89062,  -0.90625,   0.85938,  -0.72656,  -0.86719,  -0.72656,  -0.84375,  -0.85156
  -0.88281,   0.82812,  -0.88281,  -0.90625,  -0.62500,  -0.87500,  -0.89844,  -0.82031,   0.86719,  -0.78125
  -0.91406,   0.82812,  -0.88281,   0.90625,   0.85156,  -0.92188,  -0.87500,  -0.82031,   0.86719,  -0.82031
   0.90625,  -0.76562,   0.89844,  -0.89844,   0.89062,  -0.88281,  -0.89062,  -0.89844,  -0.78906,  -0.75781
  -0.88281,  -0.89062,   0.86719,  -0.91406,  -0.68750,   0.89844,  -0.91406,   0.88281,   0.90625,  -0.85156
  -0.89844,  -0.88281,  -0.93750,  -0.89844,   0.87500,  -0.75000,   0.86719,   0.89062,  -0.86719,   0.83594
  -0.77344,  -0.89062,   0.88281,  -0.86719,  -0.90625,  -0.89062,   0.86719,  -0.92188,   0.89062,   0.87500
  -0.67188,   0.77344,   0.83594,  -0.81250,  -0.78906,   0.17969,   0.66406,  -0.73438,  -0.42188,  -0.78906
  -0.84375,  -0.32031,  -0.79688,   0.85156,  -0.80469,   0.80469,  -0.12500,   0.22656,  -0.75781,  -0.81250
  -0.82031,   0.81250,  -0.80469,  -0.78125,  -0.29688,  -0.77344,   0.20312,   0.13281,  -0.78906,   0.68750
  -0.82031,  -0.76562,  -0.35156,   0.73438,  -0.83594,  -0.85156,  -0.76562,  -0.75000,   0.75781,   0.78125
  -0.68750,   0.75000,  -0.71094,  -0.78906,   0.85938,   0.42969,  -0.71875,  -0.53125,  -0.60938,  -0.57812
  -0.77344,  -0.57031,  -0.80469,  -0.75000,  -0.31250,  -0.74219,   0.77344,   0.80469,  -0.72656,  -0.48438
   0.76562,  -0.79688,   0.79688,  -0.74219,  -0.82031,  -0.78125,  -0.81250,  -0.75000,  -0.68750,   0.78906
   0.48438,  -0.07812,  -0.84375,   0.71094,  -0.87500,   0.57031,  -0.72656,  -0.78906,  -0.80469,   0.53906
  -0.75000,  -0.31250,  -0.74219,  -0.30469,  -0.82812,  -0.71094,   0.21875,  -0.76562,  -0.52344,  -0.66406
   0.68750,   0.65625,  -0.85156,  -0.85938,  -0.81250,   0.71875,   0.79688,  -0.85938,   0.82812,   0.67188
   0.07031,   0.06250,  -0.14844,  -0.06250,   0.11719,  -0.15625,  -0.11719,   0.01562,   0.08594,  -0.14062
  -0.84375,  -0.75000,   0.60156,   0.77344,   0.60156,  -0.82812,   0.78125,  -0.83594,  -0.75000,   0.67969
  -0.14062,  -0.08594,   0.10156,  -0.01562,   0.02344,   0.12500,  -0.14844,   0.07031,  -0.14062,   0.15625
  -0.73438,  -0.76562,  -0.82812,  -0.86719,   0.82812,   0.81250,  -0.71875,  -0.07812,   0.35156,  -0.08594
   0.67969,   0.61719,  -0.52344,  -0.62500,  -0.68750,  -0.68750,  -0.19531,   0.67969,  -0.62500,  -0.67969
